ABBEY BUILDING SOCIETY LIMITED 
AG HOMES SAVINGS & LOANS LIMITED 
AKWA SAVINGS & LOANS LIMITED 
ASO SAVING & LOANS PLC 
Brent Mortgage Bank 
CENTAGE SAVINGS & LOANS LIMITED 
CITY CODE SAVINGS & LOANS LIMITED 
COOP SAVING & LOANS LIMITED 
DELTA BUILDING SOCIETY LTD 
FHA HOMES SAVINGS & LOANS LTD. 
FIRST GENERATION HOMES (SAVINGS & LOANS) LIMITED 
FIRST TRUST MORTGAGE BANK PLC 
GATEWAY SAVINGS & LOANS LIMITED 
GLOBAL TRUST SAVINGS & LOANS LTD. 
HAGGAI SAVINGS AND LOANS LIMITED 
HOMEBASE MORTGAGE LIMITED 
Imperial Homes Mortgage Bank Limited 
INFINITY TRUST MORTGAGE BANK PLC 
JIGAWA SAVINGS & LOANS LIMITED 
JUBILEE-LIFE SAVINGS & LOANS LIMITED 
KEBBI STATE HOME SAVINGS & LOANS LTD. 
LAGOS BUILDING & INVESTMENT COMPANY LIMITED 
LIVINGTRUST MORTGAGE BANK PLC 
MAYFRESH SAVINGS & LOANS LIMITED 
MGSL Mortgage Bank 
MUTUAL ALLIANCE SAVING & LOANS LIMITED 
NEW PRUDENTIAL BUILDING SOCIETY LIMITED 
Nigeria Police Mortgage Bank  
PLATINUM SAVINGS & LOANS LIMITED 
REFUGE HOME SAVINGS & LOANS LIMITED 
RESORT SAVINGS & LOANS PLC 
SAFE TRUST SAVINGS & LOANS LIMITED 
STB BUILDING SOCIETY LIMITED
