AACB MFB
AB MFB
ABC MFB
ABESTONE MFB
ABIA SME MFB (FORMERLY SWIFT MFB)
ALERT MFB (FORMERLY BOIG)
ABIA STATE UNIVERSITY MFB LTD.
ABIGI MFB
ABOVE ONLY MFB
ABUBAKAR TAFAWA BALEWA UNIVERSITY (ATBU) MFB
ABUCOOP MFB
ABULESORO MFB
ACCION MFB
ACE MFB
ACHINA MFB
ACTIVE POINT MFB
ADA MFB
ADAZI-ENU MFB
ADAZI-NNUKWU MFB
ADDOSSAR MFB
ADEYEMI COLLEGE STAFF MFB
AFEKHAFE MFB
AFEMAI MFB
AGOSASA MFB
AGULERI MFB
AHMADU BELLO UNIVERSITY MFB
AIBIO MFB
AIYEPE MFB
AJEWOLE MFB
AJIKOBI MFB
AJOSE MFB
AJUTA MFB
AKALABO MFB
AKOKWA MFB
AKPO MFB
AKU DIEWA MFB
AKUCHUKWU MFB
AKWENGWU MFB
AL-BARAKAH MFB
ALBASU MFB
ALEKUN MFB
ALGREB MFB
AL-HAYAT MFB
ALIERO MFB
ALKALERI MFB
ALL WORKERS MFB
ALLY MFB
ALOR MFB
ALPHA KAPITAL MFB
ALVANA MFB
AMAC MFB
AMAZU MFB
AMBA MFB
AMEGY MFB
AMJU UNIQUE MFB
AMML MFB (ABUJA MARKETS MANAGEMENT LTD.)
AMOYE MFB
AMPERSAND MFB LIMITED
AMUCHA MFB
ANCHORAGE MFB
ANIOCHA MFB LTD.
ANNOINTED MFB
ANYA MFB
AOGO MFB
APA MFB
APEKS MFB
APEX TRUST MFB
APPLE MFB
ARAMOKO MFB
ARIS MFB
ARISE MFB
ASHA MFB
ASPIRE MFB
ASSET MATRIX MFB
ASSETS MFB
TANGERINE MONEY MFB (Formerly Assured MFB)
ASTRA POLARIS MFB
ATLAS MFB
AUCHI MFB
AVUENEGBE MFB
AWE MFB
AWGBU MFB
AWKA MFB
AWKA-ETITI MFB
AWKUZU MFB SUNTOP MFB (Formerly know as Azabe Zinariya MFB)
AZSA MFB
B C KASH MFB
BABBA MFB
BABCOCK MFB
BABURA MFB
BAINES CREDITt MFB
BALERA MFB
BALOGUN FULANI MFB
BALOGUN GAMBARI MFB
BAM MFB
BAMA MFB
BANCORP MFB
BANEX MFB
BAOBAB MFB
BARNAWA MFB
BAUCHI CFA MFB
Bauchi Investment Corporation MFB (BIC)
BAWYI MFB
BAYAJIDDA MFB
BAYERO UNIVERSITY MFB
BAYETIN MFB
BEJIN-DOKO MFB
BENUE MFB
BENYSTA MFB
BERACHAH MFB
BEST STAR MFB
BESTWAY MFB
BETHEL MFB
BETTER LIFE MFB
BFL MFB
BIBAJINRE MFB
BICHI MFB
BIDA POLYTECHNIC MFB
BIPC MFB
BISHOPGATE MFB
BIYAMA MFB
BLUCON MFB
BLUE RIDGE MFB
BLUEPRINT INVESTMENTS MFB
BLUEWHALES MFB
BMAZAZAHIN MFB
BOCTRUST MFB
BOI MFB
BOJI BOJI MFB LTD.
BOKKOS MFB
BOLUWADURO MFB
BOMPAI MFB
BONGHE MFB
BORGU MFB
BORNO RENAISSANCE MFB LTD.
BOROMU MFB
BORSTAL MFB
BOSAK MFB
BOWEN MFB
BOWMAN MFB
BRASS MFB
BRETHREN MFB
BRIDGEHOUSE MFB
BRIDGEWAY MFB
BRIGHTWAY MFB LTD
BRIYTH-CONVENANT MFB
BROADVIEW MFB
BROOKS MFB
BUBAYERO MFB LTD
BUNDI MFB
BUNGUDU MFB
BUNKASA MFB
BUNKURE MFB
BUSINESS SUPPORT MFB
BUSU MFB
CALABAR MFB
CANAAN MFB
CAPITALMETRIQ SWIFT MFB
CAPSTONE MFB
CARBON MFB
CARETAKER MFB
CASH RITE MFB
CASHCONNECT MFB
CASTLE MFB
CATLAND MFB
CEDAR MFB
CHALLENGE MFB
CHANELLE MFB
CHANGAN RTS MFB
CHASE MFB LTD
CHERISH MFB
CHEVRON EMPLOYEE CO-OPERATIVE MFB (CEMCS)
CHIBUEZE MFB
CHIDERA MFB
CHIKUM MFB
CHRISORE MFB
CHRONICLES MFB
CHUKWUNENYE MFB
CINTRUST MFB
CIT MFB
CITIZEN TRUST MFB
CITY MISSION METHODIST MFB
CIVIC MFB
COAL CAMP MFB
COASTLINE MFB
COEMINNA MFB
CONFIDENCE MFB
KREDI MONEY MFB (Formerly CONPRO MFB)
CONSISTENT TRUST MFB
CONSUMER MFB
CORESTEP MFB
COSMOPOLITAN MFB
COVENANT MFB
COWRIES MFB
CREDIT AFRIQUE MFB
CREEKLINE MFB
CRESCENT MFB
CREST MFB
CROSSOVER MFB
CROSSRIVER MFB
CROWNED EAGLE MFB
CRUTECH MFB
CRYSTABEL MFB
CSD MFB
CUB MFB
CUSTODIAN MFB
DADINKOWA MFB
DAL MFB
DAMBATTA- MAKODA MFB
DANELS-GLOBAL MFB
DANGIZHI MFB
DANKINGARI MFB
DAVODANI MFB
DAWAKIN KUDU MFB
DAWAKIN TOFA MFB
DAYLIGHT MFB LTD
DEC-ENUGU MFB
DESTINY MFB
DIOBU MFB
DOGUWA MFB
DOLPHIN MFB
DOMINION MFB
DORBEN MFB
DUTSE MFB
EAGLE FLIGHT MFB
EARNWELL MFB
EAST GATE MFB
EASTMAN MFB
EASY ACCESS MFB LTD
e-BARCS MFB
EBEDI MFB
EBONYI STATE UNIVERSITY MFB (EBSU)
ECHO MFB
EDFIN MFB
